id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,grade,sub_grade,is_inc_v,accept_d,issue_d,loan_status,term
125897,124159,6625,6625,2325.0,11.22%,217.6,C,C4,False,28-08-2007,11-09-2007,Fully Paid,36months
126213,126209,9500,9500,5050.0,8.07%,297.99,A,A4,False,28-08-2007,11-09-2007,Fully Paid,36months
126215,125654,5000,5000,2675.0,7.75%,156.11,A,A3,False,28-08-2007,12-09-2007,Fully Paid,36months
126287,125787,10000,10000,2925.0,11.54%,329.95,C,C5,False,29-08-2007,12-09-2007,Fully Paid,36months
126392,125914,10000,10000,4200.0,8.07%,313.67,A,A4,False,29-08-2007,12-09-2007,Fully Paid,36months
126776,126773,9500,9500,1225.0,8.07%,297.99,A,A4,False,17-09-2007,02-10-2007,Fully Paid,36months
126788,126782,7500,7500,7500.0,9.33%,239.65,B,B3,False,29-08-2007,13-09-2007,Fully Paid,36months
127213,85483,2000,2000,1975.0,7.12%,61.87,A,A1,False,01-09-2007,13-09-2007,Fully Paid,36months
127353,127345,2850,2850,1050.0,11.86%,94.47,D,D1,False,03-09-2007,17-09-2007,Fully Paid,36months
127472,127460,2125,2125,550.0,15.01%,73.68,F,F1,False,04-09-2007,18-09-2007,Charged Off,36months
127504,127500,10000,10000,1539.34,8.07%,313.67,A,A4,False,29-10-2007,13-11-2007,Fully Paid,36months
127531,127525,17000,17000,6400.0,9.33%,543.2,B,B3,False,04-09-2007,18-09-2007,Fully Paid,36months
127719,127716,10000,10000,3812.83,8.07%,313.67,A,A4,False,29-10-2007,13-11-2007,Fully Paid,36months
127830,127824,8000,8000,1850.0,12.17%,266.37,D,D2,False,05-09-2007,20-09-2007,Charged Off,36months
128635,127807,6500,6500,2250.0,10.28%,210.6,C,C1,False,08-09-2007,21-09-2007,Fully Paid,36months
128881,128775,7000,7000,1400.0,12.49%,234.15,D,D3,False,12-09-2007,21-09-2007,Fully Paid,36months
129745,129716,10000,10000,275.0,10.28%,323.99,C,C1,False,13-09-2007,27-09-2007,Fully Paid,36months
130512,130019,7250,7250,425.0,10.59%,235.96,C,C2,False,14-09-2007,01-10-2007,Fully Paid,36months
130735,130725,10250,10250,925.0,14.38%,352.22,E,E4,False,15-09-2007,01-10-2007,Fully Paid,36months
130907,130904,3775,3775,1025.0,7.43%,117.31,A,A2,False,16-09-2007,02-10-2007,Fully Paid,36months
130986,130983,2100,2100,2075.0,7.12%,64.96,A,A1,False,29-09-2007,10-10-2007,Fully Paid,36months
131223,129367,20000,20000,2950.0,15.65%,699.69,F,F3,False,17-09-2007,01-10-2007,Fully Paid,36months
131387,113921,6000,6000,700.0,10.59%,195.27,C,C2,False,17-09-2007,01-10-2007,Fully Paid,36months
131618,131612,9000,9000,875.0,11.22%,295.59,C,C4,False,18-09-2007,01-10-2007,Fully Paid,36months
131649,131639,6625,6625,1025.0,11.22%,217.59,C,C4,False,18-09-2007,01-10-2007,Fully Paid,36months
131782,131769,7725,7725,1050.0,13.75%,263.09,E,E2,False,19-09-2007,03-10-2007,Charged Off,36months
132062,130915,7200,7200,1275.0,14.67%,248.43,E,E5,False,20-09-2007,04-10-2007,Fully Paid,36months
132172,132154,6000,6000,925.0,10.28%,194.4,C,C1,False,20-09-2007,03-10-2007,Fully Paid,36months
132892,132889,9000,9000,1350.0,12.49%,301.04,D,D3,False,22-09-2007,09-10-2007,Charged Off,36months
132946,132940,5275,5275,1075.0,7.43%,163.92,A,A2,False,22-09-2007,11-10-2007,Fully Paid,36months
133301,133259,4650,4650,875.0,10.28%,150.66,C,C1,False,23-09-2007,10-10-2007,Charged Off,36months
133685,133664,6625,6625,1125.0,11.22%,217.59,C,C4,False,24-09-2007,04-10-2007,Fully Paid,36months
134436,134417,2525,2525,1750.0,13.12%,85.23,D,D5,False,26-09-2007,11-10-2007,Fully Paid,36months
135201,135198,10000,10000,275.0,11.22%,328.43,C,C4,False,29-09-2007,15-10-2007,Fully Paid,36months
135594,135591,5275,5275,1700.0,8.07%,165.47,A,A4,False,30-09-2007,15-10-2007,Fully Paid,36months
136226,136223,4300,4300,1200.0,10.91%,140.6,C,C3,False,02-10-2007,16-10-2007,Fully Paid,36months
136316,136313,3025,3025,1275.0,10.28%,98.01,C,C1,False,02-10-2007,17-10-2007,Fully Paid,36months
136491,136485,5000,5000,2374.995234,12.17%,166.48,D,D2,False,02-10-2007,12-10-2007,Charged Off,36months
136634,136631,8500,8500,1450.0,12.49%,284.32,D,D3,False,03-10-2007,24-10-2007,Fully Paid,36months
137042,136922,25000,5650,1250.0,14.38%,194.15,E,E4,False,04-10-2007,19-10-2007,Fully Paid,36months
137106,137103,4275,4275,750.0,10.28%,138.51,C,C1,False,04-10-2007,18-10-2007,Fully Paid,36months
137271,136588,2100,2100,1699.995904,12.49%,70.25,D,D3,False,04-10-2007,19-10-2007,Charged Off,36months
137965,137952,8000,8000,3750.0,8.38%,252.1,A,A5,False,05-10-2007,19-10-2007,Fully Paid,36months
138557,138075,8275,8275,725.0,9.01%,263.19,B,B2,False,07-10-2007,26-10-2007,Fully Paid,36months
138568,138553,3275,3275,1500.0,9.33%,104.65,B,B3,False,07-10-2007,22-10-2007,Fully Paid,36months
139057,139053,5500,5500,1750.0,8.07%,172.53,A,A4,False,08-10-2007,23-10-2007,Fully Paid,36months
139657,139245,1200,1200,350.99,9.96%,38.7,B,B5,False,10-10-2007,15-10-2007,Fully Paid,36months
139790,139779,3000,3000,2300.000721,12.49%,100.35,D,D3,False,10-10-2007,23-10-2007,Charged Off,36months
139968,139887,10000,10000,2375.0,12.80%,335.98,D,D4,False,10-10-2007,23-10-2007,Fully Paid,36months
139980,139977,12000,5000,1449.996684,10.91%,163.49,C,C3,False,10-10-2007,23-10-2007,Charged Off,36months
140036,140027,4000,1000,575.0,9.96%,32.25,B,B5,False,10-10-2007,16-10-2007,Charged Off,36months
140452,140448,3000,3000,2000.2,9.96%,96.75,B,B5,False,11-10-2007,23-10-2007,Fully Paid,36months
140561,140555,2225,2225,225.0,10.59%,72.42,C,C2,False,12-10-2007,29-10-2007,Charged Off,36months
140687,139696,2825,2825,1750.0,9.64%,90.68,B,B4,False,12-10-2007,24-10-2007,Fully Paid,36months
140900,140897,8275,8275,600.0,8.07%,259.58,A,A4,False,13-10-2007,26-10-2007,Fully Paid,36months
141041,141022,5275,5275,1575.0,9.64%,169.32,B,B4,False,13-10-2007,25-10-2007,Fully Paid,36months
141676,141648,6225,6225,1375.0,11.54%,205.4,C,C5,False,15-10-2007,29-10-2007,Fully Paid,36months
141774,141767,20000,4800,2024.999594,13.12%,162.01,D,D5,False,15-10-2007,31-10-2007,Charged Off,36months
142281,142269,7000,7000,550.0,10.28%,226.8,C,C1,False,16-10-2007,29-10-2007,Fully Paid,36months
142608,74724,5000,5000,2550.0,10.59%,162.73,C,C2,False,16-10-2007,30-10-2007,Fully Paid,36months
142618,139881,4800,4800,1825.0,11.54%,158.38,C,C5,False,16-10-2007,30-10-2007,Fully Paid,36months
142734,142718,25000,25000,2150.0,9.01%,795.11,B,B2,False,16-10-2007,06-11-2007,Fully Paid,36months
142790,142781,4925,4925,2050.0,9.96%,158.83,B,B5,False,17-10-2007,31-10-2007,Fully Paid,36months
143102,143098,3000,3000,2027.44,10.28%,97.2,C,C1,False,17-10-2007,29-10-2007,Fully Paid,36months
143128,128262,8000,8000,1419.99,11.54%,263.97,C,C5,False,17-10-2007,01-11-2007,Fully Paid,36months
143566,143201,12375,12375,275.0,10.91%,404.62,C,C3,False,18-10-2007,02-11-2007,Fully Paid,36months
144579,144575,9850,9850,5100.0,7.75%,307.53,A,A3,False,21-10-2007,01-11-2007,Fully Paid,36months
144635,144623,25000,25000,4574.990259,12.80%,839.95,D,D4,False,21-10-2007,08-11-2007,Charged Off,36months
146564,138910,8275,8275,2625.003381,10.59%,269.31,C,C2,False,24-10-2007,13-11-2007,Charged Off,36months
146641,146626,8000,8000,5850.0,11.86%,265.18,D,D1,False,24-10-2007,06-11-2007,Fully Paid,36months
146671,146655,25000,25000,2850.0,9.64%,802.47,B,B4,False,24-10-2007,07-11-2007,Fully Paid,36months
146844,146834,15450,15450,4224.99972,10.91%,505.16,C,C3,False,24-10-2007,07-11-2007,Charged Off,36months
148473,148467,10000,10000,1825.004738,9.01%,318.05,B,B2,False,28-10-2007,13-11-2007,Charged Off,36months
149575,149552,10000,10000,2875.0,8.38%,315.12,A,A5,False,31-10-2007,14-11-2007,Fully Paid,36months
149754,149751,4000,4000,979.8,10.91%,130.79,C,C3,False,31-10-2007,14-11-2007,Fully Paid,36months
150940,150893,7000,7000,1125.0,10.59%,227.82,C,C2,False,02-11-2007,16-11-2007,Fully Paid,36months
151587,151580,19950,19950,775.0,9.96%,643.36,B,B5,False,03-11-2007,19-11-2007,Fully Paid,36months
151607,151590,1500,1500,1250.0,14.70%,51.78,E,E5,False,03-11-2007,09-11-2007,Fully Paid,36months
151621,151597,18000,18000,350.0,9.01%,572.48,B,B2,False,03-11-2007,19-11-2007,Fully Paid,36months
152291,152282,4800,4800,1150.79,7.75%,149.87,A,A3,False,04-11-2007,19-11-2007,Fully Paid,36months
152663,152635,3000,3000,2225.0,9.96%,96.75,B,B5,False,05-11-2007,13-11-2007,Fully Paid,36months
153022,153018,3000,3000,1825.0,7.12%,92.8,A,A1,False,06-11-2007,16-11-2007,Fully Paid,36months
153054,152600,5875,5875,1075.0,10.91%,192.09,C,C3,False,06-11-2007,20-11-2007,Fully Paid,36months
153235,147832,18000,18000,590.29,11.54%,593.92,C,C5,False,06-11-2007,20-11-2007,Fully Paid,36months
153434,153428,12000,12000,724.56,10.91%,392.36,C,C3,False,07-11-2007,19-11-2007,Fully Paid,36months
154141,154129,5000,5000,1250.0,7.75%,156.11,A,A3,False,08-11-2007,23-11-2007,Fully Paid,36months
154154,151536,4800,4800,1100.0,10.28%,155.52,C,C1,False,08-11-2007,23-11-2007,Fully Paid,36months
154286,154264,15000,15000,975.0,10.28%,485.99,C,C1,False,08-11-2007,28-11-2007,Fully Paid,36months
154305,154295,3600,3600,1241.64,10.28%,116.64,C,C1,False,08-11-2007,23-11-2007,Fully Paid,36months
154776,154761,6800,6800,875.000947,11.22%,223.34,C,C4,False,09-11-2007,26-11-2007,Charged Off,36months
155780,155777,4800,4800,800.0,7.75%,149.87,A,A3,False,13-11-2007,27-11-2007,Fully Paid,36months
156021,155549,6400,6400,1050.0,11.54%,211.17,C,C5,False,13-11-2007,27-11-2007,Fully Paid,36months
156417,156396,6000,6000,1075.0,7.43%,186.45,A,A2,False,14-11-2007,28-11-2007,Fully Paid,36months
156868,156838,24750,24750,1150.0,9.33%,790.86,B,B3,False,15-11-2007,29-11-2007,Fully Paid,36months
157169,157162,25000,25000,499.9994011,9.01%,795.11,B,B2,False,16-11-2007,30-11-2007,Charged Off,36months
157768,157765,4000,4000,525.33,8.70%,126.65,B,B1,False,18-11-2007,03-12-2007,Fully Paid,36months
158289,158286,9000,9000,1072.02,10.91%,294.27,C,C3,False,20-11-2007,03-12-2007,Fully Paid,36months
158706,158450,12375,12375,1075.0,10.91%,404.62,C,C3,False,20-11-2007,04-12-2007,Fully Paid,36months
159468,154318,12000,12000,2000.0,11.86%,397.77,D,D1,False,21-11-2007,06-12-2007,Fully Paid,36months
159665,159644,5750,5750,1712.0,7.43%,178.68,A,A2,False,21-11-2007,05-12-2007,Fully Paid,36months
159713,159659,900,900,650.0,10.28%,29.16,C,C1,False,21-11-2007,29-11-2007,Charged Off,36months
161187,160991,12950,12950,1025.0,9.96%,417.62,B,B5,False,22-11-2007,06-12-2007,Fully Paid,36months
163627,163621,4000,4000,1057.03,10.59%,130.18,C,C2,False,23-11-2007,10-12-2007,Fully Paid,36months
163758,163445,3000,3000,511.55,11.22%,98.53,C,C4,False,23-11-2007,04-12-2007,Fully Paid,36months
164346,163835,500,500,400.0,8.07%,15.69,A,A4,False,24-11-2007,28-11-2007,Fully Paid,36months
164741,164738,16000,16000,988.5,10.91%,523.14,C,C3,False,25-11-2007,10-12-2007,Fully Paid,36months
164792,153157,17600,17600,1000.0,8.70%,557.23,B,B1,False,25-11-2007,10-12-2007,Fully Paid,36months
166437,166419,9600,9600,675.0,11.22%,315.3,C,C4,False,26-11-2007,10-12-2007,Fully Paid,36months
166534,163941,16000,16000,185.0026999,11.54%,527.93,C,C5,False,26-11-2007,11-12-2007,Charged Off,36months
166546,166498,3000,3000,250.0,7.43%,93.23,A,A2,False,26-11-2007,30-11-2007,Fully Paid,36months
166683,163526,6500,6500,1383.11,7.75%,202.94,A,A3,False,26-11-2007,04-12-2007,Fully Paid,36months
166747,166429,5000,5000,349.9920453,11.86%,165.74,D,D1,False,26-11-2007,04-12-2007,Charged Off,36months
167189,167147,4900,4900,225.0031519,10.28%,158.76,C,C1,False,27-11-2007,03-12-2007,Charged Off,36months
167205,167144,15000,15000,1674.49,10.28%,485.99,C,C1,False,27-11-2007,10-12-2007,Fully Paid,36months
167584,167573,10000,10000,349.9999291,9.96%,322.49,B,B5,False,27-11-2007,12-12-2007,Charged Off,36months
167645,163382,10000,6000,775.0,8.70%,189.97,B,B1,False,27-11-2007,11-12-2007,Fully Paid,36months
167846,166657,11300,11300,1475.0,12.17%,376.24,D,D2,False,27-11-2007,04-12-2007,Fully Paid,36months
168100,167970,18000,18000,528.02,12.17%,599.33,D,D2,False,27-11-2007,06-12-2007,Fully Paid,36months
168190,168175,3975,3975,1000.000889,12.17%,132.35,D,D2,False,27-11-2007,12-12-2007,Charged Off,36months
168222,168212,25000,25000,325.0,11.86%,828.69,D,D1,False,27-11-2007,12-12-2007,Fully Paid,36months
169044,153468,18500,18500,156.7,10.91%,604.88,C,C3,False,28-11-2007,12-12-2007,Fully Paid,36months
169254,168673,17000,17000,500.0,8.70%,538.23,B,B1,False,28-11-2007,07-12-2007,Fully Paid,36months
169354,169334,5400,5400,375.0,9.33%,172.55,B,B3,False,28-11-2007,12-12-2007,Fully Paid,36months
169453,157525,18500,18500,750.0,10.91%,604.88,C,C3,False,28-11-2007,13-12-2007,Fully Paid,36months
169525,142952,9000,9000,350.51,9.96%,290.24,B,B5,False,28-11-2007,13-12-2007,Fully Paid,36months
169793,164864,16000,16000,619.3880659,11.86%,530.36,D,D1,False,28-11-2007,13-12-2007,Charged Off,36months
170488,165737,5000,5000,475.0,8.70%,158.31,B,B1,False,29-11-2007,07-12-2007,Fully Paid,36months
170528,165069,12000,12000,656.69,10.59%,390.54,C,C2,False,29-11-2007,13-12-2007,Fully Paid,36months
170929,170462,9000,9000,1125.0,12.49%,301.04,D,D3,False,29-11-2007,14-12-2007,Fully Paid,36months
171220,170849,20000,20000,310.9790017,11.54%,659.91,C,C5,False,29-11-2007,13-12-2007,Charged Off,36months
171298,171282,7000,7000,1000.0,7.43%,217.52,A,A2,False,29-11-2007,14-12-2007,Fully Paid,36months
172644,172641,12000,12000,156.68,10.28%,388.79,C,C1,False,01-12-2007,14-12-2007,Fully Paid,36months
172802,171004,5000,5000,775.0,8.70%,158.31,B,B1,False,01-12-2007,14-12-2007,Fully Paid,36months
173029,173017,9600,9600,1150.00166,12.17%,319.64,D,D2,False,01-12-2007,17-12-2007,Charged Off,36months
173981,173944,3200,3200,525.0,10.28%,103.68,C,C1,False,02-12-2007,17-12-2007,Fully Paid,36months
174377,174280,4800,4800,1650.0,9.64%,154.08,B,B4,False,02-12-2007,19-12-2007,Fully Paid,36months
175056,174986,20000,20000,275.0,10.59%,650.9,C,C2,False,03-12-2007,24-12-2007,Fully Paid,36months
175147,175123,2400,2400,1945.27,13.75%,81.74,E,E2,False,03-12-2007,17-12-2007,Fully Paid,36months
175193,173899,7500,7500,1000.0,9.01%,238.54,B,B2,False,03-12-2007,18-12-2007,Fully Paid,36months
175582,174945,10000,10000,625.0,12.80%,335.98,D,D4,False,03-12-2007,17-12-2007,Fully Paid,36months
176062,176043,2800,2800,849.9982904,12.17%,93.23,D,D2,False,04-12-2007,19-12-2007,Charged Off,36months
176206,176187,3000,3000,750.0,9.33%,95.87,B,B3,False,04-12-2007,18-12-2007,Fully Paid,36months
176610,152731,2975,2975,821.09,9.96%,95.94,B,B5,False,04-12-2007,18-12-2007,Fully Paid,36months
176942,176612,16500,16500,1225.0,12.80%,554.37,D,D4,False,04-12-2007,19-12-2007,Fully Paid,36months
176995,176989,25000,25000,675.0063074,14.38%,859.07,E,E4,False,04-12-2007,19-12-2007,Charged Off,36months
177075,177072,15000,15000,2799.13,8.38%,472.68,A,A5,False,04-12-2007,24-12-2007,Fully Paid,36months
177259,154006,17950,17950,425.0,10.91%,586.9,C,C3,False,04-12-2007,19-12-2007,Fully Paid,36months
177913,171100,15000,7000,350.0,9.64%,224.69,B,B4,False,05-12-2007,21-12-2007,Fully Paid,36months
